Link;Online Game;Known serious game;Name;Type;Main Theme(s);Languages;English;German;French;Spanish;More Languages;Topic;Notes
www.energygame.ch;yes;yes;Energy Game;Simulation Game;Energy Transition, Climate;GER;; GER;;;Italian;Decarbonise your home;More languauges to come
www.sweet-sure.ch/game;yes;yes;Ensured Energy;Simulation Game;Energy Transition, Policies;EN, GER, FR, IT;EN; GER; FR;;;Decarbonise the Swiss energy system;
https://sarnetz.ch;yes;yes;Sarnetz;Digital Board Game;Energy Transition;unknown;;;;;;;Needs a workshop
https://www.climateinteractive.org/en-roads/;yes;yes;En-ROADS;Scenario Simulation Game;Climate;EN, GER, FR, ES, and more;EN; GER; FR; ES;many;;Needs a workshop
https://persuasivegames.com/game/windfall;yes;no;Windfall;Browser Game;Energy Transition;EN;EN;;;;;;
https://www.nau.ch/lifestyle/climapower;yes;no;Climapower;Mobile Game/App;Climate;unknown;;;;;;;
https://ig.ft.com/climate-game/;yes;no;Climate Game;Simulation Game;Climate ;EN;EN;;;;;;
https://jrante.itch.io/vote-now;yes;no;Vote Now;Simulation Game;Climate Policies;EN;EN;;;;;;
https://play.half.earth/;yes;no;Half-Earth Socialism;Browser Game;Climate, Energy Transition, Politics;EN, GER, FR, ES, and more;EN; GER; FR; ES;many;;Link to last stable version: https://frnsys.itch.io/half-earth-socialism
https://molleindustria.itch.io/green-new-deal-simulator;yes;no;The Green New Deal Simulator;Deck Building Game;Energy Transition;EN;EN;;;;;;
https://my2050.energysecurity.gov.uk/;yes;no;My 2050 - CREATE YOUR PATHWAY TO A LOW CARBON UK BY 2050;Simulation Browser Game;Climate;EN;EN;;;;;;
https://www.neso.energy/energy-101/balancing-grid-interactive-game;yes;no;Balancing the Grid;Browser Game;Energy;EN;EN;;;;;;
https://tabletopia.com/games/carbon-city-zero;yes;no;Carbon City Zero ;Digital Board game;Climate;unknown;;;;;;;Can be played in print for free: https://www.pnparcade.com/products/carbon-city-zero-world-edition
https://fresqueduclimat.org;no;no;La Fresque du Climat;Card Game;Climate;FR;;;FR;;;Helps to provide a better understanding of the components of climate change and its systemic nature. 3h workshop. playful and creative approach for knowledge within everyone's reach.;Needs a workshop
https://wikifactory.com/@ger/introduction-and-overview;no;yes;City Energy Game;Board Game with role play;Energy, Climate, Cities;unknown;;;;;;This game is about collective decision-making in the city and the roles that citizens play. ;Needs two facilitators
http://www.nrp73.ch/en/projects/cities-mobility/post-fossil-cities;no;yes;postfossilCities;Simulation Card Game;Energy, Climate, Cities;EN, GER;EN;GER;;;;As part of the NRP73  on Sustainable Economy - In order to identify potential development paths towards post-fossil cities in the context of “Swiss City 2050” (a fictional city in the Swiss Central Plateau in 2050 with zero fossil carbon), a simulation game will be developed, tested and applied. ;Needs a workshop
https://static1.squarespace.com/static/5c179ea9a2772c041db0e4ad/t/5c1e9ad8b8a045738676b542/1545509605698/Global+Warming+Expansion+-+German.pdf;no;no;Catan Globale Erwärmung;Board game;Climate;GER;;GER;;;;Settlers of Catan Global Warming;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;